,,,0p8_B,0p8_B,0p8_B,0p8_K,0p8_K,0p8_K,0p8_M,0p8_M,0p8_M,0p8_MK,0p8_MK,0p8_MK,2p5_B,2p5_B,2p5_B,2p5_K,2p5_K,2p5_K,2p5_M,2p5_M,2p5_M,2p5_MK,2p5_MK,2p5_MK,8p0_B,8p0_B,8p0_B,8p0_K,8p0_K,8p0_K,8p0_M,8p0_M,8p0_M,8p0_MK,8p0_MK,8p0_MK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,m/z,Retention time (min),0p8_B1,0p8_B2,0p8_B3,0p8_K1,0p8_K2,0p8_K3,0p8_M1,0p8_M2,0p8_M3,0p8_MK1,0p8_MK2,0p8_MK3,2p5_B1,2p5_B2,2p5_B3,2p5_K1,2p5_K2,2p5_K3,2p5_M1,2p5_M2,2p5_M3,2p5_MK1,2p5_MK2,2p5_MK3,8p0_B1,8p0_B2,8p0_B3,8p0_K1,8p0_K2,8p0_K3,8p0_M1,8p0_M2,8p0_M3,8p0_MK1,8p0_MK2,8p0_MK3
0.915_809.15765,809.15765,0.915,0.0,0.0,0.0,159717.33333333334,137925.0,154301.0,137821.66666666666,0.0,8980.333333333334,134610.33333333334,183426.0,140077.0,0.0,0.0,0.0,88532.33333333333,174896.0,84180.33333333333,0.0,0.0,3241.0,139210.33333333334,186538.0,206287.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,3459.6666666666665,0.0,0.0,5620.333333333333,0.0,4964.333333333333
0.916_201.6449,201.6449,0.916,141348.33333333334,93703.0,68032.66666666667,2343926.3333333335,2294653.6666666665,2893982.6666666665,892919.3333333334,25005.666666666668,16613.666666666668,2815361.6666666665,2966962.3333333335,3269488.3333333335,235106.0,182871.0,215182.66666666666,4189063.3333333335,3416388.6666666665,3038120.0,32650.333333333332,13638.666666666666,13701.0,3765824.6666666665,3428540.3333333335,3848317.6666666665,61268.333333333336,88326.66666666667,202902.0,2157361.3333333335,1517902.6666666667,1918546.3333333333,20477.666666666668,27577.333333333332,37928.0,1700223.6666666667,2184853.3333333335,1889231.0
0.916_372.2243,372.2243,0.916,94692.33333333333,57428.666666666664,16431.333333333332,167472.66666666666,172831.66666666666,144975.66666666666,17931.666666666668,36165.333333333336,82766.66666666667,221009.66666666666,198195.0,235927.0,281690.3333333333,235836.0,198836.33333333334,117836.66666666667,64064.333333333336,103926.0,12311.666666666666,11972.0,0.0,67255.33333333333,102641.33333333333,106058.33333333333,65005.666666666664,118487.66666666667,299519.6666666667,92113.0,89923.0,219645.0,41536.333333333336,47882.333333333336,25395.333333333332,66172.66666666667,173676.33333333334,100926.66666666667
0.916_441.10803,441.10803,0.916,0.0,0.0,0.0,211021.66666666666,211051.0,172742.66666666666,5053.0,0.0,0.0,192983.33333333334,257495.66666666666,218736.33333333334,5030.333333333333,0.0,0.0,89555.66666666667,87690.0,103583.66666666667,0.0,0.0,0.0,98176.33333333333,113838.66666666667,84082.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.916_514.14923,514.14923,0.916,0.0,285.6666666666667,0.0,0.0,0.0,0.0,0.0,166500.33333333334,164268.66666666666,2621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233912.33333333334,220832.66666666666,220973.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210920.33333333334,206833.33333333334,304658.3333333333,0.0,0.0,0.0
0.916_554.16931,554.16931,0.916,0.0,0.0,0.0,515677.0,566667.6666666666,621059.0,206537.0,0.0,0.0,687552.3333333334,693145.3333333334,578742.3333333334,0.0,0.0,0.0,463792.0,425985.0,418157.3333333333,0.0,0.0,0.0,605151.0,491666.6666666667,589976.3333333334,0.0,0.0,0.0,83334.0,132035.66666666666,112813.0,0.0,0.0,0.0,134572.0,194831.66666666666,185375.66666666666
0.916_882.19617,882.19617,0.916,0.0,0.0,0.0,187074.66666666666,179473.66666666666,196630.0,142523.33333333334,0.0,0.0,174506.66666666666,210146.33333333334,231168.66666666666,0.0,0.0,0.0,144256.33333333334,241827.33333333334,124362.66666666667,0.0,0.0,0.0,157167.66666666666,230389.66666666666,234894.33333333334,0.0,0.0,0.0,6597.666666666667,0.0,2511.6666666666665,0.0,0.0,0.0,5305.0,0.0,5232.666666666667
0.917_255.66158,255.66158,0.917,1082583.3333333333,952531.3333333334,804010.0,557942.6666666666,656085.0,705746.6666666666,273698.6666666667,339031.6666666667,320277.3333333333,513545.0,903201.6666666666,745773.0,2372293.3333333335,2140312.0,2215339.3333333335,1031928.0,1035011.3333333334,850039.3333333334,1063455.0,859207.6666666666,722271.0,1263784.0,761903.3333333334,1100774.3333333333,629915.0,1084464.6666666667,1892868.0,930692.6666666666,682807.3333333334,1138614.6666666667,732336.3333333334,708931.0,627883.6666666666,1015935.6666666666,1201996.3333333333,810550.3333333334
0.917_267.1087,267.1087,0.917,396424.0,371118.6666666667,102799.66666666667,25476.333333333332,61991.666666666664,71732.0,23382.333333333332,803134.6666666666,813700.3333333334,22475.666666666668,81787.33333333333,81512.0,367852.3333333333,293475.0,305247.3333333333,91230.33333333333,91380.66666666667,76891.66666666667,806961.3333333334,843061.0,706955.6666666666,103301.33333333333,48980.666666666664,86215.0,138941.0,290297.3333333333,676209.0,329139.6666666667,97346.33333333333,147909.0,563931.0,545476.3333333334,537230.6666666666,85933.33333333333,110907.66666666667,50672.666666666664
0.917_287.0737,287.0737,0.917,1025974.0,959395.0,713160.6666666666,278157.6666666667,288653.6666666667,366358.6666666667,498843.3333333333,83965.0,73101.33333333333,256123.0,426161.3333333333,367033.6666666667,2511662.3333333335,2202410.3333333335,2287579.6666666665,206482.66666666666,265375.0,194379.66666666666,69988.0,60326.666666666664,54208.0,358927.0,254471.66666666666,353212.6666666667,537619.3333333334,1008546.0,2222643.3333333335,272049.0,232430.0,276224.6666666667,51990.333333333336,67178.0,50242.666666666664,212409.33333333334,263345.6666666667,276786.3333333333
