Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,p,qval,-logq
4.48_590.35498,590.35498,4.48,0.354979999999955,True,True,0.5084198517709233,0.1843198511888069,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K,0.01,247196.7777777777,5.393042805403627,3.328526037924299,0.00046932529529319906,0.0011623791363713281,2.9346521938236982
6.409_246.02167,246.02167,6.409,0.0216700000000003,True,True,0.4491446707180154,0.1945772710779487,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_MK,0.1336318307888313,1903075.3333333333,6.279455980196328,3.33111284892174,0.000466538137312788,0.0011596325643278293,2.935679597465618
0.929_453.24283,453.24283,0.929,0.2428300000000263,True,True,0.3265238774115505,0.1633725127112693,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.0148396951497144,112869.11111111112,5.05257510481732,3.335369334448089,0.0004619879686384997,0.0011524681816938746,2.938371056138339
0.919_681.20862,681.20862,0.919,0.2086199999999962,True,True,0.3338927655283047,0.1713960126094038,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK,0.01,186099.3333333333,5.269744817353372,3.340752806560105,0.00045629655872048185,0.0011423946452023658,2.9421838412511243
0.965_733.02124,733.02124,0.965,0.0212400000000343,True,True,0.1524729334301795,0.1191229555964355,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1651722738500726,395251.2222222222,5.59687322156072,3.365646408028366,0.0004308772774872518,0.0010826770863406946,2.9655010544844305
3.318_303.06467,303.06467,3.318,0.0646699999999782,True,True,0.6583349896674981,0.1833534601289188,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K,0.0143100883182266,254007.66666666663,5.404846825048202,3.3725410418433364,0.00042409090443529257,0.0010695139232291503,2.970813557289526
10.468_927.52838,927.52838,10.468,0.5283799999999701,True,True,0.4000394879914665,0.1820582398073464,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K,0.0196026720213656,4894120.555555555,6.689674663006717,3.3946929662381606,0.00040300184440056347,0.001020052287475419,2.991377565904718
7.73_231.08412,231.08412,7.73,0.0841200000000128,True,True,0.4733878422431182,0.1671249377706548,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,377015.1111111112,5.576358757475422,3.398170774230696,0.0003997875135239861,0.0010156366611951265,2.993261630890696
8.173_308.17029,308.17029,8.173,0.1702900000000227,True,True,0.2872705545372899,0.0672177666054953,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.5012518077252385,2586843.333333333,6.412770127391022,3.408190331754426,0.0003906696453204184,0.0009961355162967126,3.0016815752546333
3.915_216.06107,216.06107,3.915,0.0610700000000008,True,True,0.5333892115168724,0.1746220750497029,True,True, 0p8_K 0p8_MK 2p5_MK,0.01,430221.6666666667,5.633692278382513,3.4095755437237285,0.0003894255628504873,0.0009961355162967126,3.0016815752546333
0.967_718.05597,718.05597,0.967,0.055970000000002,True,True,0.2032251489746033,0.1182134066015419,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.2806408689186172,572229.0,5.757569863641963,3.414871740321912,0.00038470537985713104,0.000988220882830028,3.0051459729501215
10.575_880.59711,880.59711,10.575,0.5971100000000433,True,True,0.3875147251931262,0.1142543928641117,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK,0.01,19621430.444444444,7.292730665199062,3.419957942857167,0.00038022621570155124,0.0009803593845140743,3.0086146895117576
2.757_740.35693,740.35693,2.757,0.3569300000000339,True,True,0.3310451954138468,0.1456758513953907,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K,0.0110067060460965,156579.66666666666,5.1947353641854495,3.446820035316489,0.00035742091697743566,0.0009250106877580826,3.033853249306866
10.63_671.50934,671.50934,10.63,0.5093399999999519,True,True,0.4947797436343878,0.1152539220979561,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_MK,0.0273235233140474,3994827.0,6.60149797649802,3.448288641656056,0.00035621430687893225,0.0009250106877580826,3.033853249306866
7.538_549.36548,549.36548,7.538,0.3654800000000477,True,True,0.0587714688954737,0.0514618583461929,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,2235013.222222222,6.34928009673917,3.451603440504894,0.00035350581285831256,0.0009217830818305433,3.0353712670675033
3.329_270.0946,270.0946,3.329,0.094600000000014,True,True,0.522514736384108,0.1272576344410716,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.0914825428973513,583388.7777777778,5.765958070661508,3.463587450249705,0.00034388445926936134,0.0009000915202845783,3.045713329745338
8.172_197.00063,197.00063,8.172,0.000630000000001,True,True,0.5456416135958287,0.1927137517600802,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.2444403702292878,1673276.4444444445,6.223567697315488,3.4802162447334437,0.00033096628508677523,0.0008695730151899684,3.0606939458490032
2.545_373.17194,373.17194,2.545,0.1719400000000064,True,True,0.2978675527092173,0.0859303918253167,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,341369.1111111111,5.5332242212869085,3.4938738048087137,0.0003207201122119586,0.0008458686928948985,3.072697048754261
2.681_917.40765,917.40765,2.681,0.4076499999999896,True,True,0.226231752972685,0.0706820371492423,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,153727.33333333334,5.1867510936574925,3.496539894522681,0.00031875727501140544,0.0008439129388232994,3.0737023544867634
3.291_584.30298,584.30298,3.291,0.3029800000000477,True,True,0.4313434621091538,0.0800342349092416,True,True, 0p8_M 2p5_M 8p0_K 8p0_M 8p0_MK,100.0,799870.2222222221,5.903019529060915,3.525441835660281,0.0002982346941959867,0.0007926160526516415,3.1009371362569005
0.916_882.19617,882.19617,0.916,0.1961700000000519,True,True,0.5035244154204715,0.1422174715347598,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.0171115555639755,207483.88888888888,5.316984379417736,3.545360789493177,0.0002848650771862804,0.0007600068275510415,3.1191825062002305
