Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
1.91_386.7035m/z,386.7035298,1.905333333,0.7035298000000125,True,True,0.2677860428030386,0.2478658772885708,False,True, Media cv,,10.92534741522222,1.0384352559962342,,,
2.81_532.7818m/z,532.7817739,2.8093,0.7817738999999619,True,True,0.3536254685409992,0.3682337357306776,False,True, Media cv,,10.671133331,1.0282105462530968,,,
0.64_280.6631m/z,280.663062,0.639233333,0.6630620000000249,False,True,,,True,True, relfil,,,,,,
2.18_296.9323m/z,296.9323187,2.183133333,0.9323186999999962,True,True,0.5296056984279214,0.5093192300959727,False,True, Media cv,,10.380754322777776,1.016228912887885,,,
0.83_236.6454m/z,236.6454458,0.831333333,0.6454458000000045,True,True,0.2852141937556561,0.1599556385906864,True,True, Media,,10.271141579222222,1.0116187156522138,,4.751320808782173,
2.67_374.6927m/z,374.6927143,2.674033333,0.6927142999999774,True,True,0.3936517646498163,0.360736087518306,False,True, Media cv,,10.125180883666664,1.0054027905115552,,,
1.21_202.1205m/z,202.1205486,1.20815,0.1205486000000064,False,True,,,True,True, relfil,,,,,,
1.94_214.6461m/z,214.6461129,1.941033333,0.6461128999999914,True,True,0.1795615831202809,0.0696704002852522,True,False, Media insource,,9.811822651888887,0.9917496897583488,,,
1.97_391.6942m/z,391.6942477,1.9696,0.6942477000000054,True,True,0.3441757549233404,0.2532866434568019,False,True, Media cv,,9.632883113111111,0.983756290521934,,,
3.07_214.1072m/z,214.1071717,3.065233333,0.1071717000000092,True,True,0.257345814240341,0.2992821724541935,False,True, 250um_Ce cv,100.0,8.71168188811111,0.9401020085337228,1.7757389621946076,,6.643856189774724
2.21_277.8165m/z,277.8164876,2.211,0.8164876000000163,True,True,0.3173569917519347,0.2918242640320355,False,True, Media cv,,9.381737613888887,0.972283282540614,,,
0.83_208.6487m/z,208.6487245,0.831333333,0.6487244999999859,True,True,0.2315942779742964,0.2601305294373028,False,False, Media cv insource,,9.53224397688889,0.9791951495431296,,,
4.38_152.5409m/z,152.5409079,4.381033333,0.5409079000000077,True,True,0.2699108286664048,0.271259382820466,False,True, 250um_Ce cv,100.0,7.959452599666666,0.9008832007629394,1.660599842269871,,6.643856189774724
4.63_176.0635m/z,176.0635018,4.630266667,0.0635018000000116,True,True,0.2937782812145375,0.2039770206424763,False,True, 250um_Ce cv,100.0,7.8289885824444445,0.8937056597034936,1.89432383382632,,6.643856189774724
2.13_458.7222m/z,458.7222397,2.13315,0.7222396999999887,True,True,0.3226114952809218,0.3404167821091419,False,True, Media cv,,8.527185822555555,0.9308057271361286,,,
3.63_274.0595m/z,274.059526,3.62725,0.0595260000000053,True,True,0.2596206487220886,0.2086800525858705,False,True, 250um_Ce cv,100.0,7.780856655333334,0.891027414496498,1.927016953561324,,6.643856189774724
1.20_232.1370m/z,232.1370332,1.200716667,0.1370331999999905,True,True,0.8139869638605287,0.3323454841006332,False,False, 0um_Ce 250um_Ce Media cv insource,1.419998614581533,8.384356309333333,0.9234697262104072,0.0883273472931086,,0.5058895221684596
4.12_154.0742m/z,154.0741943,4.118116667,0.0741942999999878,True,True,0.6011201641545789,0.2645516708171223,False,False, 0um_Ce 250um_Ce cv insource,53.772056783907146,7.431190960333333,0.8710584215737607,3.594179454319585,,5.748784750714847
1.79_190.1239m/z,190.1239254,1.791783333,0.1239253999999903,True,True,0.4824336027829438,0.4735939066227678,False,True, Media cv,,7.911889131555555,0.8982801929102814,,,
2.83_266.6660m/z,266.6660081,2.830716667,0.6660080999999991,True,True,0.2973354263851672,0.2714318582308112,False,True, Media cv,,7.849972393000001,0.894868129409094,,,
0.84_322.1855m/z,322.1854908,0.838483333,0.185490800000025,True,True,0.3066728853280994,0.3479814093164607,False,True, Media cv,,7.757872941222222,0.8897426624285205,,,
1.17_130.6020m/z,130.6019847,1.1657,0.6019847000000027,True,True,0.2399052087705154,0.2014457608711667,False,True, Media cv,,7.918113264,0.8986217097903182,,,
1.48_153.9916m/z,153.9915881,1.4788,0.9915881000000012,True,True,0.4091788752736333,0.3112357269472577,False,True, 250um_Ce cv,100.0,6.921268792222222,0.8401857156924418,1.3245818250687444,,6.643856189774724
2.05_541.7443m/z,541.7443075,2.054583333,0.7443074999999908,False,True,,,True,True, relfil,,,,,,
0.67_131.5785m/z,131.5785157,0.667783333,0.578515699999997,False,True,,,True,True, relfil,,,,,,
1.98_219.6294m/z,219.6293687,1.976733333,0.6293686999999863,True,True,0.3459706273548373,0.2321784320919757,False,True, Media cv,,7.624597923,0.8822169464546874,,,
2.30_318.6730m/z,318.6729908,2.296683333,0.6729907999999796,True,True,0.3660400133880555,0.393652735219888,False,True, Media cv,,7.467900545666666,0.873198525565769,,,
1.66_139.0520m/z,139.0519622,1.663933333,0.0519621999999913,True,True,0.2496631040488874,0.2489220146313578,False,True, 0um_Ce 250um_Ce cv,1.0430762524613884,6.424433116888888,0.8078348121482911,0.0755900776172999,,0.060844627682014873
1.96_296.6555m/z,296.6555304,1.955316667,0.6555303999999751,True,True,0.1964194363092242,0.1103513522319382,True,False, 0um_Ce 250um_Ce Media insource,2.084887741107325,81.28417374311111,1.910005995469668,1.8226055788556537,,1.0599697051529848
0.93_269.1085m/z,269.1084615,0.9306,0.1084614999999757,True,True,0.6938071293966547,0.4322206988387059,False,True, 250um_Ce Media cv,100.0,6.845854304111111,0.8354276520916778,0.3466720264017542,,6.643856189774724
0.80_232.0622m/z,232.0621806,0.795633333,0.0621806000000049,True,True,0.0222599993946276,0.0218164855050153,True,True, 0um_Ce 250um_Ce Media,0.9701458408732584,34491.44627333333,4.537711405308507,0.6555190492547057,0.4818153414673454,-0.043726452650554144
2.00_165.0796n,166.0868789,1.998166667,0.0868788999999878,True,True,0.0202635162817617,0.0154718658993177,True,False, 0um_Ce 250um_Ce Media insource,0.8288808046754245,26200.789159205888,4.418314372324592,0.5450476047223303,,-0.27076344173980904
4.11_1332.3155n,1355.304373,4.110983333,0.3043729999999414,True,True,0.4561320015449148,0.031669018431479,True,False, 0um_Ce 250um_Ce insource,6.434007893836838,18656.065443333333,4.270820056536719,3.3783640597483777,,2.685717706023644
2.18_235.6590m/z,235.658973,2.176,0.6589730000000031,True,True,0.8718004208450469,0.3421377215332454,False,True, 0um_Ce Media cv,0.01,11.731379125111111,1.069349070190428,0.446507239109473,,-6.643856189774724
2.47_201.1475m/z,201.1474851,2.474783333,0.1474851000000114,True,True,0.2339474287650152,0.0612596874605802,True,False, 0um_Ce 250um_Ce Media insource,3.042605173109356,145.8378431222222,2.163870232669384,2.2246322094140973,,1.605307133144695
